horizon_hours,model,rmse,mae,r2
24,Persistence,20.78076968302701,16.051353226925745,0.5049563007134127
24,Ridge,18.55619680468172,14.168295950963993,0.6052717408974781
24,Random Forest,19.111772082929257,14.768205857495326,0.5812814565897921
24,XGBoost,18.203559595365885,14.207653921896348,0.6201318172201805
24,PyTorch MLP,20.04150115632709,14.694647652005917,0.5395518042554005
48,Persistence,27.114479590613804,21.519777931991673,0.1861111921915687
48,Ridge,24.055109943567174,19.266129824786507,0.359414326100823
48,Random Forest,23.368880301511414,18.9422347398976,0.3954414917029373
48,XGBoost,22.921101335007172,18.49093651755,0.4183878213100134
48,PyTorch MLP,26.592464489851206,20.311498632702374,0.2171479278718904
72,Persistence,31.08425790526719,24.238029146426094,-0.05507086950222084
72,Ridge,26.928046926945285,21.662445860711077,0.20820941015944627
72,Random Forest,24.86760036784826,19.735307230279627,0.3247441054212268
72,XGBoost,24.338336941405643,19.570895521281745,0.35318151401961173
72,PyTorch MLP,29.166343000240577,22.261482995885018,0.07110936843621729
